Time,R_8it,R_10bit,R_12bit
16:27:31,"16842.109,","16766.090,",16714.074
16:27:32,"16842.109,","16752.092,",16710.584
16:27:33,"16288.659,","16696.242,",16745.48
16:27:34,"16562.498,","16738.107,",16703.617
16:27:36,"16842.109,","16654.508,",16747.227
16:27:37,"16562.498,","16752.092,",16672.311
16:27:38,"16562.498,","16696.242,",16708.842
16:27:39,"16562.498,","16682.314,",16729.768
16:27:40,"16842.109,","16599.064,",16682.742
16:27:41,"16562.498,","16696.242,",16694.918
16:27:42,"16288.659,","16738.107,",16715.811
16:27:43,"16562.498,","16724.137,",16714.074
16:27:45,"16562.498,","16878.611,",16680.998
16:27:46,"16562.498,","16710.182,",16601.271
16:27:47,"16562.498,","16640.623,",16705.363
16:27:48,"16562.498,","16710.182,",16707.1
16:27:49,"16562.498,","16710.182,",16628.949
16:27:50,"16562.498,","16654.508,",16755.961
16:27:51,"16842.109,","16696.242,",16658.42
16:27:52,"16288.659,","16752.092,",16585.729
16:27:53,"16562.498,","16682.314,",16656.684
16:27:55,"16562.498,","16654.508,",16675.785
16:27:56,"16562.498,","16626.756,",16674.047
16:27:57,"16562.498,","16668.404,",16649.744
16:27:58,"16842.109,","16696.242,",16646.277
16:27:59,"16562.498,","16640.623,",16601.271
16:28:00,"16562.498,","16640.623,",16701.875
16:28:01,"16562.498,","16710.182,",16701.875
16:28:02,"16562.498,","16543.850,",16668.836
16:28:03,"16562.498,","16640.623,",16651.479
16:28:05,"16562.498,","16710.182,",16728.023
16:28:06,"16562.498,","16640.623,",16651.479
16:28:07,"16562.498,","16599.064,",16597.816
16:28:08,"16562.498,","16640.623,",16646.277
16:28:09,"16562.498,","16599.064,",16651.479
16:28:10,"16562.498,","16640.623,",16599.545
16:28:11,"16562.498,","16668.404,",16597.816
16:28:12,"16562.498,","16696.242,",16674.047
16:28:13,"16562.498,","16654.508,",16618.562
16:28:15,"16562.498,","16488.865,",16651.479
16:28:16,"16562.498,","16612.902,",16648.016
16:28:17,"16562.498,","16626.756,",16627.223
16:28:18,"16562.498,","16612.902,",16620.293
16:28:19,"16562.498,","16626.756,",16615.104
16:28:20,"16562.498,","16640.623,",16599.545
16:28:21,"16562.498,","16668.404,",16613.379
