Time,Res_8_bit,Res_10_bit,Res_12_bit
16:36:57,12173.914,12056.923,12061.199
16:36:58,12173.914,12056.923,12000.752
16:37:00,12173.914,11981.089,11918.319
16:37:01,11794.873,11821.674,11890.201
16:37:02,11610.171,11765.959,11856.317
16:37:03,11610.171,11673.73,11769.176
16:37:04,11610.171,11682.918,11620.909
16:37:05,11428.573,11573.174,11657.499
16:37:06,11610.171,11627.909,11632.332
16:37:07,11794.873,11664.547,11539.027
16:37:08,11610.171,11646.215,11617.482
16:37:10,11610.171,11582.28,11658.645
16:37:11,11610.171,11500.633,11525.442
16:37:12,11428.573,11464.542,11551.494
16:37:13,11428.573,11446.543,11494.933
16:37:14,11428.573,11573.174,11497.192
16:37:15,11428.573,11500.633,11531.104
16:37:16,11428.573,11491.598,11542.43
16:37:17,11428.573,11582.28,11587.855
16:37:19,11428.573,11664.547,11612.921
16:37:20,11428.573,11554.996,11600.38
16:37:21,11610.171,11728.974,11596.96
16:37:22,11610.171,11692.114,11615.202
16:37:23,11428.573,11591.391,11628.9
16:37:24,11610.171,11600.509,11612.921
16:37:25,11610.171,11618.765,11678.138
16:37:26,11794.873,11618.765,11549.229
16:37:27,11610.171,11646.215,11646.052
16:37:29,11610.171,11719.747,11628.9
16:37:30,11610.171,11637.057,11683.877
16:37:31,11610.171,11655.375,11623.191
16:37:32,11610.171,11573.174,11604.938
16:37:33,11982.761,11527.776,11624.334
16:37:34,11610.171,11527.776,11642.616
16:37:35,11610.171,11627.909,11601.52
16:37:36,11610.171,11618.765,11553.77
16:37:37,11428.573,11591.391,11525.442
16:37:39,11428.573,11500.633,11537.894
16:37:40,11610.171,11637.057,11567.389
16:37:41,11610.171,11618.765,11472.391
16:37:42,11250.001,11446.543,11485.914
16:37:43,11610.171,11428.569,11424.087
16:37:44,11794.873,11464.542,11473.52
16:37:45,11250.001,11464.542,11454.396
16:37:46,11250.001,11268.19,11321.461
16:37:47,11250.001,11348.078,11417.366
16:37:49,11250.001,11330.276,11276.045
16:37:50,11250.001,11294.754,11294.853
16:37:51,11250.001,11153.849,11281.571
16:37:52,11074.382,11188.9,11203.333
16:37:53,11074.382,11153.849,11253.959
16:37:54,11074.382,11206.466,11107.157
16:37:55,11074.382,10988.92,11108.248
16:37:56,11074.382,11023.43,11038.842
16:37:58,10901.641,10971.712,11009.695
16:37:59,10901.641,11006.158,11004.308
16:38:00,11074.382,11101.486,11075.657
16:38:01,11074.382,11075.4,11099.546
16:38:02,11074.382,11171.356,11114.778
16:38:03,10901.641,11145.103,11177.019
